,ZIM80MET413PCATrain2014ndays0,ZIM80MET413PCATrain2014ndays1,ZIM80MET413PCATrain2014ndays2,ZIM80MET413PCATrain2014ndays3,ZIM80MET413PCATrain2014ndays4,ZIM80MET413PCATrain2014ndays5,ZIM80MET413PCATrain2014ndays6,ZIM80MET413PCATrain2014ndays7,ZIM80MET413PCATrain2014ndays8,ZIM80MET413PCATrain2014ndays9,ZIM80MET413PCATrain2014ndays10,ZIM80MET413PCATrain2014ndays11,ZIM80MET413PCATrain2014ndays12,ZIM80MET413PCATrain2014ndays13,ZIM80MET413PCATrain2014ndays14,ZIM80MET413PCATrain2014ndays15,ZIM80MET413PCATrain2014ndays16,ZIM80MET413PCATrain2014ndays17,ZIM80MET413PCATrain2014ndays18,ZIM80MET413PCATrain2014ndays19,ZIM80MET413PCATrain2014ndays20
2014,0.786225645539906,0.786225645539906,0.8424726134585289,0.8484836122271772,0.8677954024513381,0.8659531697522662,0.8767715796088869,0.8823298233142282,0.887853889000141,0.8822965472157841,0.8896837719396146,0.8891395782100008,0.8949868708808228,0.8999857659758979,0.9050337923340147,0.9116868709595164,0.9140732394366197,0.9121937522571325,0.9234060655768613,0.9195094401534655,0.9280978549805537
2015,0.6547457732242502,0.6547457732242502,0.6469173949532598,0.6494282053816648,0.6499743767165371,0.6609055369163289,0.6619978795860735,0.6608555501931438,0.6042388702496623,0.6107597633044345,0.6192976274235032,0.6229813717566293,0.6194546233357948,0.6224681501811268,0.6163565319021509,0.5965064920717064,0.6101119904174347,0.5896657925289328,0.556818138648711,0.5683302612528274,0.49666951585174157
2016,0.7631946967678384,0.7631946967678384,0.8791282125814499,0.9006221285597785,0.8907455853499018,0.8998227680481877,0.8971852820773685,0.8881080993790826,0.8680893668903261,0.869128131837964,0.8707268528611455,0.848478389005967,0.7977650203069868,0.8032083424169755,0.793571203643146,0.7886329320382078,0.7596080711188625,0.7477961065491042,0.7437993039911506,0.7496079903753765,0.73780369643679
2019,0.7000644943060731,0.7000644943060731,0.6785517094506552,0.666030371594213,0.6515484363628642,0.6483319823488232,0.6587894039785387,0.6513047458964416,0.64707830528397,0.6403840944230952,0.6542994809589929,0.6496076309286091,0.6389086984067522,0.6230327144959479,0.6330049347670995,0.6356375792635585,0.6239880359652256,0.6255714615261899,0.6127078250443069,0.6118975858824333,0.5860707555902037
